Semestre;Codigo;Nombre;HT;HP;HTP;Creditos;Requisito1;Requisito2;Requisito3;Requisito4;Requisito5;Requisito6;Requisito7;Requisito8
1;CAD612021101;ALGEBRA LINEAL;3;-;-;3;;;;;;;;
1;DN-CAI1002020202;DIAGNOSTICO Y NIVELATORIO COMUNICACION Y LECTURA CRITICA I;-;0;-;0;;;;;;;;
1;DN-CAI1002020201;DIAGNOSTICO Y NIVELATORIO RAZONAMIENTO LOGICO Y CUANTITATIVO;-;0;-;0;;;;;;;;
1;CAD612021106;FUNDAMENTOS DE ELECTRONICA;4;-;-;4;;;;;;;;
1;CAD612021103;FUNDAMENTOS DE INGENIERIA;2;-;-;2;;;;;;;;
1;CAD612021105;MATEMATICAS DISCRETAS;-;4;-;2;;;;;;;;
1;CAD612021102;PENSAMIENTO ALGORITMICO;6;-;-;3;;;;;;;;
1;CAD612021104;PENSAMIENTO SISTEMICO Y AUTOMATIZACION;4;-;-;2;;;;;;;;
2;CAD612021207;CALCULO DIFERENCIAL;4;-;-;4;CAD612021105;;;;;;;
2;CAI1002020202;COMUNICACION Y LECTURA CRITICA I;2;-;-;2;DN-CAI1002020202;;;;;;;
2;DN-CAI1002020303;DIAGNOSTICO Y NIVELATORIO CIUDADANIA DEL SIGLO 21;-;0;-;0;;;;;;;;
2;DN-CAI1002020304;DIAGNOSTICO Y NIVELATORIO LENGUA EXTRANJERA I;-;0;-;0;;;;;;;;
2;CAD642022207;ESTADISTICA PROBABILIDAD E INFERENCIA;2;-;-;2;;;;;;;;
2;CAD652022201;FISICA (MECANICA);3;-;-;3;;;;;;;;
2;CAD612021209;PROGRAMACION I;6;-;-;3;;;;;;;;
2;CAI1002020201;RAZONAMIENTO LOGICO Y CUANTITATIVO;2;-;-;2;DN-CAI1002020201;;;;;;;
3;CAD612021311;CALCULO INTEGRAL;4;-;-;4;CAD642022207;;;;;;;
3;CAI1002020303;CIUDADANIA DEL SIGLO 21;2;-;-;2;DN-CAI1002020303;;;;;;;
3;CAI1002020305;COMUNICACION Y LECTURA CRITICA II;2;-;-;2;CAI1002020202;;;;;;;
3;CAD612021312;FISICA II;4;-;-;4;CAD652022201;;;;;;;
3;CAI1002020304;LENGUA EXTRANJERA I;2;-;-;2;DN-CAI1002020304;;;;;;;
3;CAD652022302;PROGRAMACION II;4;-;-;4;CAD612021209;;;;;;;
4;CAD612021414;CALCULO MULTIVARIADO;4;-;-;4;;;;;;;;
4;CAD642022416;FISICA III ELECTRICIDAD Y MAGNETISMO;4;-;-;4;CAD612021312;;;;;;;
4;CAD642022415;INGENIERIA DE METODOS;3;-;-;3;;;;;;;;
4;CAI1002020406;LENGUA EXTRANJERA II;2;-;-;2;CAI1002020304;;;;;;;
4;CAD642022418;OPERACIONES EN INGENIERIA;6;-;-;3;;;;;;;;
4;CAD642022417;PROSPECTIVA ESTRATEGICA;2;-;-;2;;;;;;;;
5;CAD642022520;ANALISIS DE DATOS CUANTITATIVA Y CUALITATIVA;3;-;-;3;;;;;;;;
5;CAD642022522;CONTROL Y ASEGURAMIENTO DE CALIDAD;3;-;-;3;;;;;;;;
5;DN-CAI1002020613;DIAGNOSTICO Y NIVELATORIO CIENCIA TECNOLOGIA E INNOVACION I;-;0;-;0;CAI1002020201;CAI1002020304;CAI1002020303;CAI1002020202;;;;
5;DN-CAI1002020612;DIAGNOSTICO Y NIVELATORIO EMPRENDIMIENTO E INNOVACION I;-;0;-;0;CAI1002020201;CAI1002020304;CAI1002020303;CAI1002020202;;;;
5;CAD642022519;ECUACIONES DIFERENCIALES;6;-;-;3;;;;;;;;
5;CAD642022521;FUNDAMENTOS DE ECONOMIA;2;-;-;2;;;;;;;;
5;CAI1002020507;LENGUA EXTRANJERA III;2;-;-;2;CAI1002020406;;;;;;;
5;CAD642022523;PLANEACION Y PROGRAMACION DE OPERACIONES;4;-;-;4;;;;;;;;
6;CAI1002020609;CATEDRA GENERACION SIGLO 21;2;-;-;1;CAD642022519;CAD642022520;CAD642022521;DN-CAI1002020613;CAD642022523;CAI1002020507;DN-CAI1002020612;CAD642022522
6;CAI1002020613;CIENCIA TECNOLOGIA E INNOVACION I;2;-;-;2;DN-CAI1002020613;;;;;;;
6;CAI1002020612;EMPRENDIMIENTO E INNOVACION I;2;-;-;2;DN-CAI1002020612;;;;;;;
6;CAD642022626;GESTION DE LA CADENA DE ABASTECIMIENTO;2;-;-;2;;;;;;;;
6;CAD642022625;INGENIERIA ECONOMICA Y FINANCIERA;2;-;-;2;;;;;;;;
6;CAI1002020608;LENGUA EXTRANJERA IV;2;-;-;2;CAI1002020507;;;;;;;
6;CAD642022624;MODELACION DE OPERACIONES;3;-;-;3;;;;;;;;
6;CAD642022627;PROFUNDIZACION I;2;-;-;2;;;;;;;;
6;CAD642022628;PROFUNDIZACION II;2;-;-;2;;;;;;;;
7;CAI1002020715;CIENCIA TECNOLOGIA E INNOVACION II;2;-;-;2;CAI1002020613;;;;;;;
7;CAD642022729;CONTROL DE PROCESOS;6;-;-;3;;;;;;;;
7;CAI1002020714;EMPRENDIMIENTO E INNOVACION II;2;-;-;2;CAI1002020613;;;;;;;
7;CAD642022731;LOGISTICA DE DISTRIBUCION Y TRANSPORTE;6;-;-;3;;;;;;;;
7;CAD642022732;PROFUNDIZACION I;2;-;-;2;CAD642022627;;;;;;;
7;CAD642022733;PROFUNDIZACION II;2;-;-;2;CAD642022628;;;;;;;
7;CAD642022730;SISTEMAS INTEGRADOS;6;-;-;3;;;;;;;;
8;CAD642022834;AUTOMATIZACION DE PROCESOS;6;-;-;3;;;;;;;;
8;CAI1002020816;CIENCIA TECNOLOGIA E INNOVACION III;2;-;-;2;CAI1002020715;;;;;;;
8;CAD642022836;DISEÑO DE SISTEMAS LOGISTICOS;6;-;-;3;;;;;;;;
8;CAD642022835;FORMULACION Y EVALUACION DE PROYECTOS;2;-;-;2;;;;;;;;
8;CAD642022837;PROFUNDIZACION I;3;-;-;3;CAD642022732;;;;;;;
8;CAD642022838;PROFUNDIZACION II;3;-;-;3;CAD642022733;;;;;;;
9;CAD642022939;DISEÑO DE INSTALACIONES INDUSTRIALES;3;-;-;3;;;;;;;;
9;CAD642022940;GESTION TALENTO HUMANO;3;-;-;3;;;;;;;;
9;CAD100000000;OPCION DE GRADO SUSTENTACION;0;-;-;0;;;;;;;;
9;CAD642022942;PROFUNDIZACION I;3;-;-;3;CAD642022837;;;;;;;
9;CAD642022943;PROFUNDIZACION II;3;-;-;3;CAD642022838;;;;;;;
9;CAD642022941;SIMULACION EN INGENIERIA;2;-;-;2;;;;;;;;
